Date,Polish People’s Republic,Poland
2015-07-01,404,6093
2015-07-02,386,5574
2015-07-03,384,5175
2015-07-04,341,5365
2015-07-05,399,6148
2015-07-06,434,6106
2015-07-07,364,5030
2015-07-08,486,5290
2015-07-09,488,6017
2015-07-10,467,5878
2015-07-11,320,5235
2015-07-12,401,6420
2015-07-13,423,5946
2015-07-14,372,5883
2015-07-15,477,5406
2015-07-16,401,5399
2015-07-17,354,5050
2015-07-18,329,4701
2015-07-19,420,5434
2015-07-20,408,5382
2015-07-21,410,5646
2015-07-22,615,5230
2015-07-23,519,5368
2015-07-24,319,4985
2015-07-25,363,5278
2015-07-26,416,6231
2015-07-27,349,6483
2015-07-28,456,5734
2015-07-29,378,5429
2015-07-30,405,5617
2015-07-31,491,5869
2015-08-01,359,4972
2015-08-02,461,5427
2015-08-03,407,4805
2015-08-04,392,5074
2015-08-05,419,5296
2015-08-06,521,10323
2015-08-07,441,6231
2015-08-08,351,5196
2015-08-09,450,5864
2015-08-10,428,5312
2015-08-11,354,5443
2015-08-12,376,5142
2015-08-13,419,5250
2015-08-14,362,5037
2015-08-15,449,5916
2015-08-16,459,6045
2015-08-17,454,5988
2015-08-18,679,5325
2015-08-19,507,5101
2015-08-20,512,5215
2015-08-21,571,5227
2015-08-22,407,5276
2015-08-23,501,6408
2015-08-24,550,6861
2015-08-25,496,6127
2015-08-26,451,25373
2015-08-27,709,33295
2015-08-28,477,6899
2015-08-29,553,5621
2015-08-30,557,6222
2015-08-31,499,5466
2015-09-01,548,5310
2015-09-02,513,5663
2015-09-03,555,6774
2015-09-04,404,6558
2015-09-05,477,9140
2015-09-06,557,19364
2015-09-07,668,19550
2015-09-08,534,21458
2015-09-09,559,38406
2015-09-10,491,17212
2015-09-11,418,6652
2015-09-12,424,6440
2015-09-13,527,7912
2015-09-14,485,7541
2015-09-15,504,8404
2015-09-16,785,8047
2015-09-17,571,7619
2015-09-18,446,6723
2015-09-19,504,6364
2015-09-20,548,8397
2015-09-21,568,6962
2015-09-22,511,7337
2015-09-23,508,6761
2015-09-24,779,6201
2015-09-25,488,5646
2015-09-26,606,6066
2015-09-27,642,6481
2015-09-28,592,6153
2015-09-29,548,6582
2015-09-30,558,6410
2015-10-01,478,5753
2015-10-02,400,5373
2015-10-03,491,5088
2015-10-04,605,6688
2015-10-05,661,6086
2015-10-06,695,5933
2015-10-07,578,6003
2015-10-08,635,6623
2015-10-09,505,5179
2015-10-10,498,6061
2015-10-11,759,10929
2015-10-12,724,8042
2015-10-13,551,7497
2015-10-14,768,7611
2015-10-15,636,6662
2015-10-16,515,5891
2015-10-17,588,6202
2015-10-18,710,7508
2015-10-19,786,7027
2015-10-20,764,6931
2015-10-21,644,6584
2015-10-22,683,6771
2015-10-23,532,6309
2015-10-24,611,6223
2015-10-25,874,9586
2015-10-26,808,9057
2015-10-27,777,7496
2015-10-28,748,7282
2015-10-29,705,6586
2015-10-30,539,5728
2015-10-31,555,5531
2015-11-01,744,7046
2015-11-02,822,7007
2015-11-03,779,7051
2015-11-04,728,7217
2015-11-05,893,6947
2015-11-06,690,6187
2015-11-07,686,6440
2015-11-08,853,9071
2015-11-09,854,8542
2015-11-10,759,7450
2015-11-11,1763,11399
2015-11-12,963,9362
2015-11-13,789,9703
2015-11-14,802,10201
2015-11-15,975,11543
2015-11-16,852,10827
2015-11-17,1163,9026
2015-11-18,927,8227
2015-11-19,758,7142
2015-11-20,684,7134
2015-11-21,707,6908
2015-11-22,842,7736
2015-11-23,832,6929
2015-11-24,895,8046
2015-11-25,819,7398
2015-11-26,811,6773
2015-11-27,649,5590
2015-11-28,700,6409
2015-11-29,888,7521
2015-11-30,861,6947
2015-12-01,903,7059
2015-12-02,885,6542
2015-12-03,838,6115
2015-12-04,730,5778
2015-12-05,749,6584
2015-12-06,924,7359
2015-12-07,891,6725
2015-12-08,793,6658
2015-12-09,789,6259
2015-12-10,769,6105
2015-12-11,743,5262
2015-12-12,857,6107
2015-12-13,1928,7219
2015-12-14,1276,6405
2015-12-15,1021,6025
2015-12-16,1044,5950
2015-12-17,1050,5590
2015-12-18,797,4874
2015-12-19,690,5002
2015-12-20,883,6081
2015-12-21,721,4873
2015-12-22,718,4513
2015-12-23,614,4286
2015-12-24,618,4167
2015-12-25,857,6011
2015-12-26,712,6301
2015-12-27,778,6204
2015-12-28,767,6238
2015-12-29,748,5563
2015-12-30,756,5502
2015-12-31,654,4952
2016-01-01,653,6138
2016-01-02,772,7263
2016-01-03,1018,7844
2016-01-04,921,8305
2016-01-05,986,6743
2016-01-06,1120,8702
2016-01-07,982,7878
2016-01-08,782,6723
2016-01-09,1047,7053
2016-01-10,1083,8951
2016-01-11,1033,7441
2016-01-12,978,7169
2016-01-13,1016,7237
2016-01-14,1005,6833
2016-01-15,868,6714
2016-01-16,802,7368
2016-01-17,963,9179
2016-01-18,1021,7349
2016-01-19,898,8836
2016-01-20,967,7557
2016-01-21,958,7079
2016-01-22,761,6606
2016-01-23,848,7478
2016-01-24,1115,7601
2016-01-25,1043,7921
2016-01-26,985,7176
2016-01-27,883,7275
2016-01-28,924,6760
2016-01-29,722,6559
2016-01-30,917,8826
2016-01-31,1010,8619
2016-02-01,945,7729
2016-02-02,955,6675
2016-02-03,947,6706
2016-02-04,896,6750
2016-02-05,771,6628
2016-02-06,824,6487
2016-02-07,897,7436
2016-02-08,860,7139
2016-02-09,798,6955
2016-02-10,872,7005
2016-02-11,873,6108
2016-02-12,658,6055
2016-02-13,683,6379
2016-02-14,761,7043
2016-02-15,809,7419
2016-02-16,802,6907
2016-02-17,1016,6451
2016-02-18,1719,6715
2016-02-19,1488,6666
2016-02-20,1300,6337
2016-02-21,1547,7430
2016-02-22,1987,6347
2016-02-23,1576,6345
2016-02-24,1551,6234
2016-02-25,1492,6402
2016-02-26,1182,6053
2016-02-27,1186,6304
2016-02-28,1418,7458
2016-02-29,1591,6853
2016-03-01,1812,6535
2016-03-02,1399,6635
2016-03-03,1202,6257
2016-03-04,866,5572
2016-03-05,987,6127
2016-03-06,1233,7390
2016-03-07,1273,6903
2016-03-08,1317,6380
2016-03-09,1261,6533
2016-03-10,1041,6591
2016-03-11,838,5753
2016-03-12,1052,6482
2016-03-13,1225,7725
2016-03-14,1197,7048
2016-03-15,1163,7086
2016-03-16,1192,6646
2016-03-17,1103,6260
2016-03-18,779,5812
2016-03-19,849,7548
2016-03-20,1200,7914
2016-03-21,1151,6531
2016-03-22,1028,7396
2016-03-23,666,6507
2016-03-24,574,5592
2016-03-25,555,5777
2016-03-26,615,7612
2016-03-27,733,8252
2016-03-28,858,7566
2016-03-29,1050,7797
2016-03-30,1079,6841
2016-03-31,1155,6487
2016-04-01,941,5845
2016-04-02,843,6686
2016-04-03,1021,7098
2016-04-04,958,5852
2016-04-05,1059,5862
2016-04-06,1341,7309
2016-04-07,1207,6360
2016-04-08,833,5932
2016-04-09,893,6535
2016-04-10,1499,7560
2016-04-11,1349,7100
2016-04-12,1177,6636
2016-04-13,1358,6404
2016-04-14,1346,7025
2016-04-15,844,6277
2016-04-16,865,7628
2016-04-17,1313,7686
2016-04-18,1230,6525
2016-04-19,1132,6066
2016-04-20,1197,6154
2016-04-21,1140,6037
2016-04-22,831,5294
2016-04-23,785,5752
2016-04-24,1284,7137
2016-04-25,1344,6648
2016-04-26,1206,6747
2016-04-27,1247,6692
2016-04-28,1128,6253
2016-04-29,709,5267
2016-04-30,610,5331
2016-05-01,851,6260
2016-05-02,793,5999
2016-05-03,1100,7196
2016-05-04,1015,6784
2016-05-05,1058,6622
2016-05-06,740,5480
2016-05-07,861,5933
2016-05-08,1120,7595
2016-05-09,1134,7166
2016-05-10,1227,7024
2016-05-11,1136,6510
2016-05-12,1147,7029
2016-05-13,928,5667
2016-05-14,902,7381
2016-05-15,1349,7442
2016-05-16,1294,6839
2016-05-17,1334,6863
2016-05-18,1175,6935
2016-05-19,1279,6763
2016-05-20,897,5532
2016-05-21,872,5336
2016-05-22,1266,6847
2016-05-23,1345,6859
2016-05-24,1278,6666
2016-05-25,778,6204
2016-05-26,789,7196
2016-05-27,836,5636
2016-05-28,821,5774
2016-05-29,1322,7204
2016-05-30,1429,6703
2016-05-31,1400,6587
2016-06-01,1222,6353
2016-06-02,1334,6233
2016-06-03,933,5394
2016-06-04,1076,5456
2016-06-05,1315,7093
2016-06-06,1440,7239
2016-06-07,1524,6490
2016-06-08,1385,6501
