Date,History of Russia,History of Soviet Union
2015-07-01,637,293
2015-07-02,651,285
2015-07-03,632,291
2015-07-04,537,253
2015-07-05,562,271
2015-07-06,651,309
2015-07-07,801,310
2015-07-08,732,314
2015-07-09,737,319
2015-07-10,1123,390
2015-07-11,970,337
2015-07-12,1044,374
2015-07-13,1210,327
2015-07-14,1050,353
2015-07-15,1031,365
2015-07-16,1044,361
2015-07-17,1028,362
2015-07-18,821,344
2015-07-19,962,402
2015-07-20,1057,395
2015-07-21,1133,394
2015-07-22,1004,340
2015-07-23,998,304
2015-07-24,745,293
2015-07-25,695,231
2015-07-26,751,266
2015-07-27,820,274
2015-07-28,895,263
2015-07-29,883,286
2015-07-30,777,272
2015-07-31,692,225
2015-08-01,612,225
2015-08-02,642,225
2015-08-03,890,331
2015-08-04,1089,353
2015-08-05,920,347
2015-08-06,894,368
2015-08-07,879,352
2015-08-08,814,346
2015-08-09,946,327
2015-08-10,899,329
2015-08-11,953,349
2015-08-12,981,342
2015-08-13,913,323
2015-08-14,933,310
2015-08-15,858,299
2015-08-16,919,350
2015-08-17,1004,336
2015-08-18,1096,385
2015-08-19,936,304
2015-08-20,824,279
2015-08-21,827,319
2015-08-22,847,326
2015-08-23,897,323
2015-08-24,1058,410
2015-08-25,1187,361
2015-08-26,1031,333
2015-08-27,980,337
2015-08-28,947,384
2015-08-29,865,341
2015-08-30,934,336
2015-08-31,885,311
2015-09-01,1169,390
2015-09-02,2400,493
2015-09-03,2103,507
2015-09-04,1615,491
2015-09-05,1344,439
2015-09-06,2130,527
2015-09-07,2054,530
2015-09-08,2075,552
2015-09-09,1804,509
2015-09-10,1763,438
2015-09-11,1386,396
2015-09-12,2901,356
2015-09-13,1617,474
2015-09-14,1715,442
2015-09-15,1801,452
2015-09-16,1758,464
2015-09-17,1688,484
2015-09-18,1397,412
2015-09-19,1165,355
2015-09-20,1744,463
2015-09-21,1802,462
2015-09-22,1791,453
2015-09-23,1859,468
2015-09-24,1648,390
2015-09-25,1356,409
2015-09-26,1233,342
2015-09-27,1612,494
2015-09-28,1672,529
2015-09-29,1761,495
2015-09-30,1682,499
2015-10-01,1634,431
2015-10-02,1390,387
2015-10-03,1207,358
2015-10-04,1455,472
2015-10-05,1696,460
2015-10-06,1654,461
2015-10-07,1678,465
2015-10-08,1677,448
2015-10-09,1399,454
2015-10-10,1137,411
2015-10-11,1681,488
2015-10-12,1770,534
2015-10-13,1879,577
2015-10-14,1731,567
2015-10-15,1503,496
2015-10-16,1349,489
2015-10-17,1137,375
2015-10-18,1593,498
2015-10-19,1681,505
2015-10-20,1771,656
2015-10-21,1579,601
2015-10-22,1594,538
2015-10-23,1438,493
2015-10-24,1284,481
2015-10-25,1630,557
2015-10-26,1774,693
2015-10-27,1813,693
2015-10-28,1678,645
2015-10-29,1599,701
2015-10-30,1427,493
2015-10-31,1191,408
2015-11-01,1648,571
2015-11-02,1657,547
2015-11-03,1614,520
2015-11-04,2060,578
2015-11-05,2144,613
2015-11-06,1798,573
2015-11-07,1608,596
2015-11-08,1920,776
2015-11-09,2231,771
2015-11-10,2353,755
2015-11-11,2292,727
2015-11-12,2384,796
2015-11-13,2105,649
2015-11-14,1612,606
2015-11-15,1830,863
2015-11-16,1939,847
2015-11-17,2133,872
2015-11-18,1905,872
2015-11-19,1771,877
2015-11-20,1617,695
2015-11-21,1434,606
2015-11-22,1764,766
2015-11-23,1933,853
2015-11-24,1863,882
2015-11-25,1995,909
2015-11-26,1906,923
2015-11-27,1779,806
2015-11-28,1466,746
2015-11-29,1761,824
2015-11-30,1912,1096
2015-12-01,1780,897
2015-12-02,1874,955
2015-12-03,1836,1024
2015-12-04,1618,832
2015-12-05,1407,681
2015-12-06,1936,848
2015-12-07,1894,1121
2015-12-08,1876,1081
2015-12-09,1872,1040
2015-12-10,1907,1044
2015-12-11,1576,848
2015-12-12,1368,702
2015-12-13,1779,973
2015-12-14,1970,1218
2015-12-15,1837,1086
2015-12-16,1871,1242
2015-12-17,1997,1262
2015-12-18,1837,1057
2015-12-19,1537,748
2015-12-20,1887,1076
2015-12-21,2026,1221
2015-12-22,2006,1235
2015-12-23,2284,1067
2015-12-24,1756,1039
2015-12-25,1451,783
2015-12-26,1073,603
2015-12-27,1313,653
2015-12-28,1251,721
2015-12-29,1201,664
2015-12-30,944,1054
2015-12-31,644,390
2016-01-01,935,440
2016-01-02,1108,507
2016-01-03,1290,540
2016-01-04,1343,571
2016-01-05,1402,536
2016-01-06,1335,596
2016-01-07,1424,669
2016-01-08,1484,600
2016-01-09,1555,679
2016-01-10,1648,737
2016-01-11,1856,902
2016-01-12,2163,990
2016-01-13,2037,1004
2016-01-14,2032,990
2016-01-15,1823,911
2016-01-16,1571,751
2016-01-17,1988,983
2016-01-18,2002,1023
2016-01-19,2051,1037
2016-01-20,2015,987
2016-01-21,2117,1521
2016-01-22,1790,1207
2016-01-23,1601,861
2016-01-24,1951,940
2016-01-25,1925,981
2016-01-26,1776,1051
2016-01-27,1844,986
2016-01-28,1694,890
2016-01-29,1530,826
2016-01-30,1380,785
2016-01-31,1592,756
2016-02-01,1628,927
2016-02-02,1570,801
