Kategoria: Wszystko

time,Poland,Polish People’s Republic
2004-01,88,0
2004-02,91,1
2004-03,96,1
2004-04,100,1
2004-05,95,1
2004-06,92,0
2004-07,85,0
2004-08,84,0
2004-09,90,0
2004-10,88,0
2004-11,89,0
2004-12,82,0
2005-01,85,1
2005-02,84,1
2005-03,89,1
2005-04,90,1
2005-05,92,1
2005-06,89,1
2005-07,93,0
2005-08,91,0
2005-09,92,0
2005-10,89,0
2005-11,90,1
2005-12,83,0
2006-01,89,1
2006-02,88,0
2006-03,93,1
2006-04,90,1
2006-05,97,1
2006-06,93,0
2006-07,87,0
2006-08,85,0
2006-09,87,0
2006-10,87,0
2006-11,88,0
2006-12,80,0
2007-01,85,0
2007-02,87,0
2007-03,86,0
2007-04,83,0
2007-05,89,0
2007-06,83,0
2007-07,84,0
2007-08,83,0
2007-09,84,0
2007-10,83,0
2007-11,83,0
2007-12,74,0
2008-01,79,0
2008-02,78,0
2008-03,78,0
2008-04,84,0
2008-05,87,0
2008-06,84,0
2008-07,78,0
2008-08,78,0
2008-09,80,0
2008-10,79,0
2008-11,78,0
2008-12,67,0
2009-01,76,0
2009-02,83,0
2009-03,83,1
2009-04,81,0
2009-05,86,1
2009-06,86,0
2009-07,83,0
2009-08,85,0
2009-09,85,0
2009-10,86,0
2009-11,87,0
2009-12,80,0
2010-01,86,0
2010-02,90,0
2010-03,91,0
2010-04,91,0
2010-05,89,0
2010-06,88,0
2010-07,84,0
2010-08,83,0
2010-09,77,0
2010-10,73,0
2010-11,72,0
2010-12,69,0
2011-01,83,0
2011-02,80,0
2011-03,86,0
2011-04,80,0
2011-05,88,0
2011-06,85,0
2011-07,86,0
2011-08,83,0
2011-09,88,0
2011-10,88,0
2011-11,86,0
2011-12,76,0
2012-01,78,0
2012-02,75,0
2012-03,80,0
2012-04,76,0
2012-05,81,0
2012-06,92,0
2012-07,82,0
2012-08,78,0
2012-09,81,0
2012-10,81,0
2012-11,82,0
2012-12,72,0
2013-01,77,0
2013-02,82,0
2013-03,86,0
2013-04,85,0
2013-05,86,0
2013-06,82,0
2013-07,76,0
2013-08,76,0
2013-09,83,0
2013-10,82,0
2013-11,77,0
2013-12,68,0
2014-01,73,0
2014-02,70,0
2014-03,71,0
2014-04,68,0
2014-05,68,0
2014-06,62,0
2014-07,60,0
2014-08,62,0
2014-09,74,0
2014-10,64,0
2014-11,60,0
2014-12,53,0
2015-01,57,0
2015-02,54,0
2015-03,57,0
2015-04,54,0
2015-05,57,1
2015-06,57,0
2015-07,56,0
2015-08,56,0
2015-09,60,0
2015-10,58,0
2015-11,57,0
2015-12,50,0
2016-01,56,0
2016-02,50,0
2016-03,52,1
2016-04,52,1
2016-05,55,1
2016-06,68,0
2016-07,56,0
2016-08,54,0
2016-09,51,0
2016-10,53,0
2016-11,55,0
2016-12,46,0
2017-01,48,0
2017-02,46,0
2017-03,49,1
2017-04,48,0
2017-05,50,1
2017-06,53,0
2017-07,50,0
2017-08,51,0
2017-09,51,0
2017-10,52,0
2017-11,53,0
2017-12,42,0
2018-01,47,0
